demo_col,n1,n0,feature,pct_if_demo_1,pct_if_demo_0,diff_pp,abs_diff_pp,events_total,outcome_type
ctrl_year_Year 1,654,1194,motivate_Meaningful work impact,30.275229357798167,37.26968174204355,-6.994452384245385,6.994452384245385,643,motivation
ctrl_year_Year 1,654,1194,motivate_Work-life balance,21.865443425076453,17.67169179229481,4.193751632781645,4.193751632781645,354,motivation
ctrl_year_Year 1,654,1194,motivate_Job security,15.29051987767584,12.814070351758794,2.4764495259170456,2.4764495259170456,253,motivation
ctrl_year_Year 1,654,1194,motivate_Compensation package,3.82262996941896,5.360134003350084,-1.5375040339311243,1.5375040339311243,89,motivation
ctrl_year_Year 1,654,1194,motivate_Career growth opportunities,22.477064220183486,21.1892797319933,1.2877844881901872,1.2877844881901872,400,motivation
ctrl_year_Year 1,654,1194,motivate_Learning and development,6.116207951070336,5.192629815745393,0.9235781353249433,0.9235781353249433,102,motivation
ctrl_year_Year 2,541,1307,motivate_Work-life balance,17.190388170055453,19.969395562356542,-2.7790073923010894,2.7790073923010894,354,motivation
ctrl_year_Year 2,541,1307,motivate_Learning and development,7.024029574861368,4.896710022953328,2.12731955190804,2.12731955190804,102,motivation
ctrl_year_Year 2,541,1307,motivate_Career growth opportunities,20.51756007393715,22.11170619739862,-1.5941461234614707,1.5941461234614707,400,motivation
ctrl_year_Year 2,541,1307,motivate_Job security,14.78743068391867,13.236419280795717,1.5510114031229527,1.5510114031229527,253,motivation
ctrl_year_Year 2,541,1307,motivate_Meaningful work impact,35.12014787430684,34.659525631216525,0.4606222430903131,0.4606222430903131,643,motivation
ctrl_year_Year 2,541,1307,motivate_Compensation package,4.990757855822551,4.743687834736036,0.24707002108651466,0.24707002108651466,89,motivation
ctrl_year_Year 3,386,1462,motivate_Meaningful work impact,38.34196891191709,33.85772913816689,4.484239773750204,4.484239773750204,643,motivation
ctrl_year_Year 3,386,1462,motivate_Career growth opportunities,19.170984455958546,22.29822161422709,-3.1272371582685423,3.1272371582685423,400,motivation
ctrl_year_Year 3,386,1462,motivate_Learning and development,4.145077720207254,5.88235294117647,-1.7372752209692157,1.7372752209692157,102,motivation
ctrl_year_Year 3,386,1462,motivate_Job security,12.953367875647666,13.885088919288647,-0.9317210436409802,0.9317210436409802,253,motivation
ctrl_year_Year 3,386,1462,motivate_Work-life balance,19.689119170984455,19.015047879616965,0.6740712913674898,0.6740712913674898,354,motivation
ctrl_year_Year 3,386,1462,motivate_Compensation package,5.181347150259067,4.719562243502052,0.461784906757015,0.461784906757015,89,motivation
ctrl_year_Year 4,267,1581,motivate_Meaningful work impact,40.074906367041194,33.90259329538267,6.172313071658522,6.172313071658522,643,motivation
ctrl_year_Year 4,267,1581,motivate_Job security,8.614232209737828,14.547754585705249,-5.933522375967421,5.933522375967421,253,motivation
ctrl_year_Year 4,267,1581,motivate_Career growth opportunities,25.468164794007492,20.999367488931057,4.468797305076436,4.468797305076436,400,motivation
ctrl_year_Year 4,267,1581,motivate_Work-life balance,15.730337078651685,19.734345351043643,-4.004008272391959,4.004008272391959,354,motivation
ctrl_year_Year 4,267,1581,motivate_Learning and development,2.9962546816479403,5.945604048070841,-2.9493493664229007,2.9493493664229007,102,motivation
ctrl_year_Year 4,267,1581,motivate_Compensation package,6.367041198501873,4.554079696394687,1.8129615021071865,1.8129615021071865,89,motivation
ctrl_gender_Female,1108,740,motivate_Meaningful work impact,31.949458483754512,39.054054054054056,-7.104595570299544,7.104595570299544,643,motivation
